author,title,rating,ratings,genres,link
Патрик Кинг,"Читайте людей как книгу. Как анализировать, понимать и предсказывать эмоции, мысли, намерения и поведение людей",4.2,429,"Зарубежная психология, Межличностные коммуникации, Невербальные сигналы, Психология общения, Саморазвитие / личностный рост, Социальная психология, Техники влияния, Эффективное общение",https://www.litres.ru/audiobook/patrik-king/chitayte-ludey-kak-knigu-kak-analizirovat-ponimat-i-predskazyv-65834170/
Елена Михалкова,"Посмотри, отвернись, посмотри",4.9,1242,"Жестокое убийство, Загадочные убийства, Расследование преступлений, Смертельная опасность, Современные детективы, Страшные тайны",https://www.litres.ru/book/elena-mihalkova/posmotri-otvernis-posmotri-69986659/
Ольга Назарова,Детектив для неправильных людей,5.0,73,"Иронические детективы, Ироничная проза, Книги о животных, Романтический детектив, Самиздат, Семейное чтение, Современная русская литература, Юмористическая проза",https://www.litres.ru/book/olga-stanislavovna-nazarova/detektiv-dlya-nepravilnyy-ludey-70269157/
Михаил Иванов,50 бизнес-моделей новой экономики. Уроки компаний-единорогов,4.8,13,"Бизнес-лидеры, Бизнес-модели, Инновации в бизнесе, Истории успеха, Книги для бизнесменов, Личный опыт, Просто о бизнесе, Российская практика, Стартапы и создание бизнеса, Успешный бизнес, Эффективность бизнеса",https://www.litres.ru/book/aleksandr-gornyy/50-biznes-modeley-novoy-ekonomiki-uroki-kompaniy-edinorog-70104247/
Патрик Кинг,"Перестаньте угождать людям. Будьте ассертивным, перестаньте заботиться о том, что думают о вас другие, и избавьтесь от чувства вины",4.4,200,"Личная эффективность, Повышение самооценки, Психология отношений, Работа над собой, Саморазвитие / личностный рост, Скрытые возможности, Уверенность в себе",https://www.litres.ru/audiobook/patrik-king/perestante-ugozhdat-ludyam-budte-assertivnym-perestante-zaboti-68010586/
Anne Dar,Родная кровь,4.8,8533,"Самиздат, Семейная сага, Сила духа, Современные детективы, Современные любовные романы, Страсть, Тайны, Триллеры",https://www.litres.ru/book/anne-dar/rodnaya-krov-67066479/
Лена Обухова,Украденный ключ,4.9,621,"Загадочная гибель, Загадочные события, Мистика, Мистические детективы, Смертельная опасность, Современные детективы, Частное расследование",https://www.litres.ru/book/lena-obuhova/ukradennyy-kluch-69828706/
Ольга Варданян,"Сил нет. 12 шагов по выходу из выгорания, бессилия и начинающейся депрессии",4.8,178,"Борьба со стрессом, Выгорание, Общая психология, Психологическая консультация, Психологическая помощь, Самиздат, Самопомощь, Саморазвитие / личностный рост",https://www.litres.ru/book/olga-vardanyan/sil-net-70068388/
Николай Цискаридзе,Мой театр. По страницам дневника. Книга II,4.8,176,"Автобиографии, Биографии и мемуары, Звезды балета, Знаменитости, Известные люди, Истории из жизни, Истории успеха, Опера / балет, Русский балет",https://www.litres.ru/book/nikolay-ciskaridze/moy-teatr-po-stranicam-dnevnika-kniga-ii-70183792/
Джеймс Клир,Атомные привычки. Как приобрести хорошие привычки и избавиться от плохих,4.8,1923,"Бестселлеры «New York Times», Зарубежная деловая литература, Зарубежная психология, Как достичь цели, Личная эффективность, Практическая психология, Работа над собой, Самовоспитание, Саморазвитие / личностный рост, Самосовершенствование",https://www.litres.ru/book/dzheyms-klir/atomnye-privychki-kak-priobresti-horoshie-privychki-i-izbavit-48514275/
Максим Ильяхов,"Пиши, сокращай 2025: Как создавать сильный текст (PDF + EPUB)",4.0,35,"Копирайтинг, Литературное редактирование, Писательское мастерство, Привлечение клиентов, Редактирование текста, Реклама, Секреты мастерства, Советы профессионалов",https://www.litres.ru/book/maksim-ilyahov/pishi-sokraschay-2025-kak-sozdavat-silnyy-tekst-70193008/
Патрик Кинг,"Перестаньте угождать людям. Будьте ассертивным, перестаньте заботиться о том, что думают о вас другие, и избавьтесь от чувства вины",4.4,141,"Клиническая психология, Личная эффективность, Повышение самооценки, Психология отношений, Работа над собой, Саморазвитие / личностный рост, Скрытые возможности, Состояния и явления психики, Уверенность в себе",https://www.litres.ru/book/patrik-king/perestante-ugozhdat-ludyam-budte-assertivnym-perestante-zaboti-68002241/
Люсинда Райли,Убийства во Флит-хаусе,4.7,270,"Зарубежные детективы, Любовная проза, Ошибки прошлого, Психологические драмы, Семейная сага, Современная зарубежная литература, Тайны прошлого",https://www.litres.ru/book/lusinda-rayli/ubiystva-vo-flit-hause-70092361/
Люсинда Райли,Семь сестер. Атлас. История Па Солта,4.9,60,"В поисках истины, Жизненный выбор, Загадочные события, Семейные тайны, Современная зарубежная литература, Тайны прошлого",https://www.litres.ru/book/lusinda-rayli/sem-sester-atlas-istoriya-pa-solta-70244947/
Серж Винтеркей,Ревизор: возвращение в СССР 10,4.7,245,"Альтернативная история, Дружба, Назад в СССР, Попаданцы, Расследование",https://www.litres.ru/book/serzh-vinterkey/revizor-vozvraschenie-v-sssr-10-70106692/
Anne Dar,Один год жизни,4.9,7590,"Борьба за жизнь, Жизненный выбор, Зарубежные любовные романы, Любовная драма, Настоящая любовь, Остросюжетные любовные романы, Самиздат, Современные любовные романы",https://www.litres.ru/book/anne-dar/odin-god-zhizni-67259720/
Татьяна Мужицкая,Переговоры по душам. Простая технология успешной коммуникации,4.6,57,"Деловое общение, Личная эффективность, Переговоры, Психология общения, Саморазвитие / личностный рост, Советы профессионалов, Стратегия переговоров, Уверенность в себе, Успешные переговоры",https://www.litres.ru/audiobook/tatyana-muzhickaya/peregovory-po-dusham-prostaya-tehnologiya-uspeshnoy-kom-70183999/
Джессами Хибберд,Синдром самозванца. Как вырваться из ловушки токсичного мышления,4.4,170,"Зарубежная психология, Искусство быть счастливым, Клиническая психология, Повышение самооценки, Позитивное мышление, Позитивный настрой, Практическая психология, Саморазвитие / личностный рост, Советы психолога, Состояния и явления психики",https://www.litres.ru/book/dzhessami-hibberd/sindrom-samozvanca-kak-vyrvatsya-iz-lovushki-toksichnogo-65876893/
Джон Гришэм,Кто в списке у судьи?,4.9,7,"Американские детективы, Зарубежные детективы, Расследование преступлений, Серийные убийцы, Современная зарубежная литература, Современные детективы, Тайны прошлого, Триллеры, Юридические детективы",https://www.litres.ru/book/dzhon-grishem/kto-v-spiske-u-sudi-70190308/
Светлана Зимодро,Полный курс сербского языка (+ аудиоприложение),4.8,7,"Аудиокурс, Изучение иностранных языков, Иностранные языки, Сербский язык, Словарный запас",https://www.litres.ru/book/ekaterina-yakushkina/polnyy-kurs-serbskogo-yazyka-audioprilozhenie-69752842/
Роман Прокофьев,Звездная Кровь-6. Тинг,4.8,206,"LitRPG, Боевая фантастика, Героическое фэнтези, Киберпанк, Постапокалипсис, Становление героя, Техномагия, Технофэнтези",https://www.litres.ru/book/roman-urevich-prokofev/zvezdnaya-krov-6-ting-70259332/
Джейд Картер,Нейросети практика,4.9,182,"Книги о компьютерах, Нейросетевое моделирование, ОС и сети, Программирование, Самиздат, Самоучитель, Язык Python, Языки программирования",https://www.litres.ru/book/dzheyd-karter/neyroseti-praktika-69414148/
Татьяна Серганова,"Здравствуйте, я невеста дракона!",5.0,382,"Драконы, Любовное фэнтези, Новогодние истории, Самиздат, Только на ЛитРес",https://www.litres.ru/book/tatyana-serganova/zdravstvuyte-ya-nevesta-drakona-70245520/
Коллектив авторов,DAMA-DMBOK. Свод знаний по управлению данными,4.7,15,"Анализ данных, Базы данных, Информационные технологии (IT), Компьютерная справочная литература, Обработка данных, Хранилища данных, Цифровые технологии",https://www.litres.ru/book/raznoe-4340152/dama-dmbok-svod-znaniy-po-upravleniu-dannymi-63118727/
